bed_gs,talus_gs,talus_gs,lith,talus_dimensions,vert,horiz,depth,incline,bf_w,bluff_h,coord_n,coord_w
8,740,74,L,,3.5,22.37,7.2,,28.72,17.03,35.911553,-93.065473
11,250,25,L,,,,,,,,,
11,930,93,L,,,,,,,,,
16,490,49,L,,,,,,,,,
16,1530,153,L,,,,,,,,,
16,3040,304,L,,,,,,,,,
16,390,39,L,,,,,,,,,
16,1260,126,L,,,,,,,,,
16,270,27,L,,,,,,,,,
16,780,78,L,,,,,,,,,
22.6,590,59,L,,,,,,,,,
22.6,210,21,L,,,,,,,,,
22.6,170,17,L,,,,,,,,,
22.6,370,37,L,,,,,,,,,
22.6,600,60,L,,,,,,,,,
22.6,940,94,L,,,,,,,,,
22.6,380,38,L,,,,,,,,,
22.6,200,20,L,,,,,,,,,
22.6,1960,196,L,,,,,,,,,
22.6,520,52,L,,,,,,,,,
32,270,27,L,,,,,,,,,
32,680,68,L,,,,,,,,,
32,270,27,L,,,,,,,,,
32,680,68,L,,,,,,,,,
32,270,27,L,,,,,,,,,
32,1270,127,L,,,,,,,,,
32,330,33,L,,,,,,,,,
32,350,35,L,,,,,,,,,
32,210,21,L,,,,,,,,,
32,350,35,L,,,,,,,,,
32,220,22,L,,,,,,,,,
32,300,30,L,,,,,,,,,
45,280,28,L,,,,,,,,,
45,1030,103,L,,,,,,,,,
45,290,29,L,,,,,,,,,
45,190,19,L,,,,,,,,,
45,200,20,L,,,,,,,,,
45,290,29,L,,,,,,,,,
45,120,12,L,,,,,,,,,
45,440,44,L,,,,,,,,,
45,670,67,L,,,,,,,,,
45,280,28,L,,,,,,,,,
45,970,97,L,,,,,,,,,
45,1400,140,L,,,,,,,,,
45,820,82,L,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
45,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
64,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
90,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
128,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
180,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
